,Pos,2013,Title,Director,Year,Country,Mins
819,820,821,When a Woman Ascends the Stairs,"Naruse, Mikio",1960,Japan,111
820,821,795,42nd Street,"Bacon, Lloyd",1933,USA,89
821,822,809,Memento,"Nolan, Christopher",2000,USA,113
822,823,796,"Usual Suspects, The","Singer, Bryan",1995,USA,105
823,824,808,Hana-Bi,"Kitano, Takeshi",1997,Japan,103
824,825,799,El Dorado,"Hawks, Howard",1966,USA,126
825,826,902,Dracula,"Fisher, Terence",1958,UK,82
826,827,840,M*A*S*H,"Altman, Robert",1970,USA,116
827,828,815,National Lampoon's Animal House,"Landis, John",1978,USA,109
828,829,888,"Collectionneuse, La","Rohmer, Eric",1966,France,88
829,830,758,Ballad of Narayama,"Imamura, Shohei",1983,Japan,130
830,831,816,Kwaidan,"Kobayashi, Masaki",1964,Japan,164
831,832,817,Midnight Run,"Brest, Martin",1988,USA,122
832,833,868,Wild at Heart,"Lynch, David",1990,USA,127
833,834,---,"Arrivee d'un train a la Ciotat, L'",Lumiere Brothers,1895,France,1
834,835,823,Hyenes,"Mambety, Djibril Diop",1992,Senegal,110
835,836,895,Dust in the Wind,Hou Hsiao-hsien,1987,Taiwan,109
836,837,834,Ten,"Kiarostami, Abbas",2002,France,92
837,838,880,As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,"Mekas, Jonas",2000,USA,288
838,839,833,Oldboy,Park Chan-wook,2003,South Korea,120
839,840,832,"Separation, A","Farhadi, Asghar",2011,Iran,123
840,841,836,Dirty Harry,"Siegel, Don",1971,USA,102
841,842,956,Se7en,"Fincher, David",1995,USA,127
842,843,856,Blow Out,"De Palma, Brian",1981,USA,107
843,844,---,Swing Time,"Stevens, George",1936,USA,103
844,845,877,Rififi,"Dassin, Jules",1955,France,115
845,846,812,Late Chrysanthemums,"Naruse, Mikio",1954,Japan,101
846,847,813,D'est,"Akerman, Chantal",1993,Belgium,107
847,848,822,Silent Light,"Reygadas, Carlos",2007,Mexico,136
848,849,908,"Bonheur, Le","Varda, Agnes",1965,France,79
849,850,911,Chikamatsu monogatari,"Mizoguchi, Kenji",1954,Japan,100
850,851,904,Stardust Memories,"Allen, Woody",1980,USA,91
851,852,---,"Wings of Eagles, The","Ford, John",1957,USA,110
852,853,865,"Ladykillers, The","Mackendrick, Alexander",1955,UK,90
853,854,851,Crumb,"Zwigoff, Terry",1994,USA,119
854,855,820,Bob le flambeur,"Melville, Jean-Pierre",1955,France,102
855,856,825,"Big Parade, The","Vidor, King",1925,USA,141
856,857,830,Sawdust and Tinsel,"Bergman, Ingmar",1953,Sweden,92
857,858,847,Pink Flamingos,"Waters, John",1972,USA,92
858,859,827,"Corbeau, Le","Clouzot, Henri-Georges",1943,France,92
859,860,759,JFK,"Stone, Oliver",1991,USA,188
860,861,943,Berlin: Symphony of a Great City,"Ruttmann, Walter",1927,Germany,65
861,862,918,"Last Detail, The","Ashby, Hal",1973,USA,105
862,863,837,Liebelei,"Ophuls, Max",1932,Germany,88
863,864,829,"Day the Earth Stood Still, The","Wise, Robert",1951,USA,92
864,865,872,Syndromes and a Century,"Weerasethakul, Apichatpong",2006,Thailand,105
865,866,831,"Match Factory Girl, The","Kaurismaki, Aki",1990,Finland,68
866,867,842,Pakeezah,"Amrohi, Kamal",1972,India,150
867,868,861,"Lacombe, Lucien","Malle, Louis",1974,France,137
868,869,835,Red Sorghum,Zhang Yimou,1987,China,91
869,870,854,"Chienne, La","Renoir, Jean",1931,France,95
870,871,857,"Docks of New York, The","von Sternberg, Josef",1928,USA,76
871,872,838,Carnival in Flanders,"Feyder, Jacques",1935,France,95
872,873,---,Malcolm X,"Lee, Spike",1992,USA,201
873,874,841,Duck Amuck,"Jones, Chuck",1953,USA,7
874,875,---,"Goodbye, Dragon Inn",Tsai Ming-liang,2003,Taiwan,82
875,876,843,Mildred Pierce,"Curtiz, Michael",1945,USA,109
876,877,844,Storm Over Asia,"Pudovkin, Vsevolod",1928,USSR,93
877,878,---,Alice,"Svankmajer, Jan",1988,Czechoslovakia,86
878,879,863,Mother India,"Khan, Mehboob",1957,India,172
879,880,845,"Threepenny Opera, The","Pabst, G.W.",1931,Germany,112
880,881,892,Duel,"Spielberg, Steven",1971,USA,90
881,882,---,Out of Africa,"Pollack, Sydney",1985,USA,161
882,883,846,Equinox Flower,"Ozu, Yasujiro",1958,Japan,118
883,884,849,Mephisto,"Szabo, Istvan",1981,Hungary,135
884,885,850,Red Beard,"Kurosawa, Akira",1965,Japan,185
885,886,---,"Page of Madness, A","Kinugasa, Teinosuke",1926,Japan,70
886,887,862,"4 Months, 3 Weeks and 2 Days","Mungiu, Cristian",2007,Romania,113
887,888,860,Pepe le Moko,"Duvivier, Julien",1937,France,93
888,889,852,"Only Son, The","Ozu, Yasujiro",1936,Japan,87
889,890,---,Crash,"Cronenberg, David",1996,Canada,100
890,891,855,Second Breath,"Melville, Jean-Pierre",1966,France,144
891,892,882,Humanity and Paper Balloons,"Yamanaka, Sadao",1937,Japan,86
892,893,939,Tout va bien,Godard & Gorin,1972,France,95
893,894,---,"Last of the Mohicans, The","Mann, Michael",1992,USA,122
894,895,864,O Lucky Man!,"Anderson, Lindsay",1973,UK,173
895,896,867,Pan's Labyrinth,"del Toro, Guillermo",2006,Spain,120
896,897,893,Ruggles of Red Gap,"McCarey, Leo",1935,USA,92
897,898,869,Man's Castle,"Borzage, Frank",1933,USA,66
898,899,906,"Devil is a Woman, The","von Sternberg, Josef",1935,USA,83
899,900,934,Donnie Darko,"Kelly, Richard",2001,USA,112
900,901,891,"Adventures of Prince Achmed, The","Reiniger, Lotte",1926,Germany,65
901,902,871,Arnulf Rainer,"Kubelka, Peter",1960,Austria,7
902,903,---,Wings,"Shepitko, Larisa",1966,USSR,85
903,904,951,Pickup on South Street,"Fuller, Samuel",1953,USA,80
904,905,873,"New York, New York","Scorsese, Martin",1977,USA,164
905,906,874,My Man Godfrey,"La Cava, Gregory",1936,USA,95
906,907,875,Ju Dou,Zhang Yimou,1990,China,95
907,908,928,"Bad and the Beautiful, The","Minnelli, Vincente",1952,USA,118
908,909,---,Gregory's Girl,"Forsyth, Bill",1980,UK,91
909,910,946,"Naked Spur, The","Mann, Anthony",1953,USA,91
910,911,900,Bad Timing,"Roeg, Nicolas",1980,UK,129
911,912,---,Knife in the Water,"Polanski, Roman",1962,Poland,94
912,913,879,"Insider, The","Mann, Michael",1999,USA,155
913,914,881,"Femme est une femme, Une","Godard, Jean-Luc",1961,France,83
914,915,896,"Synecdoche, New York","Kaufman, Charlie",2008,USA,124
915,916,884,"Story of a Cheat, The","Guitry, Sacha",1936,France,85
916,917,940,Holiday,"Cukor, George",1938,USA,93
917,918,---,"Goodbye South, Goodbye",Hou Hsiao-hsien,1996,Taiwan,124
918,919,885,"Act of Seeing with One's Own Eyes, The","Brakhage, Stan",1971,USA,32
919,920,886,Princess Yang Kwei Fei,"Mizoguchi, Kenji",1955,Japan,98
920,921,889,Hotel Terminus,"Ophuls, Marcel",1987,USA,267
921,922,890,"Barefoot Contessa, The","Mankiewicz, Joseph L.",1954,USA,128
922,923,894,"Private Life of Sherlock Holmes, The","Wilder, Billy",1970,USA,125
923,924,---,Before Sunset,"Linklater, Richard",2004,USA,80
924,925,912,Four Nights of a Dreamer,"Bresson, Robert",1971,France,87
925,926,898,"Informer, The","Ford, John",1935,USA,91
926,927,899,"American Friend, The","Wenders, Wim",1977,France,127
927,928,916,Mon oncle d'Amerique,"Resnais, Alain",1980,France,123
928,929,901,"Sweet Hereafter, The","Egoyan, Atom",1997,Canada,112
929,930,853,Gilda,"Vidor, Charles",1946,USA,110
930,931,903,"Reason, Debate and a Story","Ghatak, Ritwik",1974,India,120
931,932,952,Man of the West,"Mann, Anthony",1958,USA,100
932,933,---,"Verdict, The","Lumet, Sidney",1982,USA,129
933,934,905,"Criminal Life of Archibaldo de la Cruz, The","Bunuel, Luis",1955,Mexico,91
934,935,972,Lost in Translation,"Coppola, Sofia",2003,USA,102
935,936,910,"Blues Brothers, The","Landis, John",1980,USA,130
936,937,921,Hellzapoppin',"Potter, H.C.",1941,USA,84
937,938,920,Outskirts,"Barnet, Boris",1933,USSR,98
938,939,942,"Phantom Carriage, The","Sjostrom, Victor",1920,Sweden,89
939,940,935,Toni,"Renoir, Jean",1935,France,90
940,941,963,Ride the High Country,"Peckinpah, Sam",1962,USA,94
941,942,---,Haxan,"Christensen, Benjamin",1922,Sweden,83
942,943,---,"Man in the White Suit, The","Mackendrick, Alexander",1951,UK,84
943,944,924,American Beauty,"Mendes, Sam",1999,USA,121
944,945,925,Funny Face,"Donen, Stanley",1957,USA,103
945,946,957,"Reckless Moment, The","Ophuls, Max",1949,USA,82
946,947,930,Late Autumn,"Ozu, Yasujiro",1960,Japan,127
947,948,938,Hallelujah!,"Vidor, King",1929,USA,106
948,949,960,Still Life,Jia Zhangke,2006,China,113
949,950,947,People on Sunday,Siodmak & Ulmer,1929,Germany,74
950,951,944,"Tarnished Angels, The","Sirk, Douglas",1957,USA,91
951,952,---,Female Trouble,"Waters, John",1974,USA,95
952,953,---,2046,Wong Kar-wai,2004,Hong Kong,129
953,954,998,Way Down East,"Griffith, D.W.",1920,USA,119
954,955,948,"History of Violence, A","Cronenberg, David",2005,USA,96
955,956,---,"Headless Woman, The","Martel, Lucrecia",2008,Argentina,87
956,957,913,Duel in the Sun,"Vidor, King",1946,USA,130
957,958,---,News from Home,"Akerman, Chantal",1976,France,85
958,959,989,"Sur, El","Erice, Victor",1983,Spain,95
959,960,945,Queen Kelly,"von Stroheim, Erich",1929,USA,96
960,961,---,Winchester '73,"Mann, Anthony",1950,USA,92
961,962,959,"Trou, Le","Becker, Jacques",1959,France,140
962,963,950,"Ronde, La","Ophuls, Max",1950,France,97
963,964,961,Rose Hobart,"Cornell, Joseph",1936,USA,20
964,965,---,Ride Lonesome,"Boetticher, Budd",1959,USA,73
965,966,958,Mother,"Pudovkin, Vsevolod",1926,USSR,70
966,967,976,Ed Wood,"Burton, Tim",1994,USA,124
967,968,962,Shoeshine,"De Sica, Vittorio",1946,Italy,93
968,969,965,Destiny,"Lang, Fritz",1921,Germany,105
969,970,975,Madchen in Uniform,"Sagan, Leontine",1931,Germany,98
970,971,966,"Time to Love and a Time to Die, A","Sirk, Douglas",1958,USA,132
971,972,967,"Nutty Professor, The","Lewis, Jerry",1963,USA,107
972,973,968,Fantomas,"Feuillade, Louis",1913,France,314
973,974,969,Stolen Kisses,"Truffaut, Francois",1968,France,90
974,975,981,"Woman in the Window, The","Lang, Fritz",1944,USA,107
975,976,971,"Boucher, Le","Chabrol, Claude",1970,France,94
976,977,973,You Only Live Once,"Lang, Fritz",1937,USA,86
977,978,984,Two English Girls,"Truffaut, Francois",1971,France,108
978,979,---,Portrait of Jennie,"Dieterle, William",1948,USA,86
979,980,---,Limite,"Peixoto, Mario",1931,Brazil,120
980,981,---,Yesterday Girl,"Kluge, Alexander",1966,West Germany,88
981,982,982,Gentlemen Prefer Blondes,"Hawks, Howard",1953,USA,91
982,983,999,Heaven Can Wait,"Lubitsch, Ernst",1943,USA,112
983,984,977,"Fountainhead, The","Vidor, King",1949,USA,114
984,985,980,Under the Bridges,"Kautner, Helmut",1946,Germany,99
985,986,979,Under the Roofs of Paris,"Clair, Rene",1930,France,92
986,987,953,Midnight,"Leisen, Mitchell",1939,USA,94
987,988,978,Party Girl,"Ray, Nicholas",1958,USA,99
988,989,970,Design for Living,"Lubitsch, Ernst",1933,USA,90
989,990,---,Bienvenido Mister Marshall,"Garcia Berlanga, Luis",1952,Spain,95
990,991,983,Who Framed Roger Rabbit?,"Zemeckis, Robert",1988,USA,103
991,992,985,Que viva Mexico!,"Eisenstein, Sergei",1932,Mexico,85
992,993,---,They Died with Their Boots On,"Walsh, Raoul",1941,USA,138
993,994,986,Taira Clan Saga,"Mizoguchi, Kenji",1955,Japan,108
994,995,988,Days and Nights in the Forest,"Ray, Satyajit",1970,India,115
995,996,994,"Roaring Twenties, The","Walsh, Raoul",1939,USA,104
996,997,---,There's Always Tomorrow,"Sirk, Douglas",1956,USA,84
997,998,992,Moana,"Flaherty, Robert",1926,USA,77
998,999,997,"Italian Straw Hat, The","Clair, Rene",1927,France,105
999,1000,993,Wild River,"Kazan, Elia",1960,USA,110
